District,State,Latitude,Longitude
Andaman Islands,Andaman and Nicobar,12.382571069235054,92.82291050641506
Nicobar Islands,Andaman and Nicobar,7.835290749774195,93.5116012375786
Adilabad,Andhra Pradesh,19.284513950073432,78.81321233480178
Anantapur,Andhra Pradesh,14.312065561843147,77.46015844785771
Chittoor,Andhra Pradesh,13.331092630676961,78.92763898886038
Cuddapah,Andhra Pradesh,14.490289134125627,78.69613870967754
East Godavari,Andhra Pradesh,16.782718320784902,82.2432074720511
Guntur,Andhra Pradesh,15.884925767634847,80.58657614107885
Hyderabad,Andhra Pradesh,17.38971555555556,78.46668888888887
Karimnagar,Andhra Pradesh,18.515483193277312,79.43765428571412
Khammam,Andhra Pradesh,17.683921325051784,80.67008643892333
Krishna,Andhra Pradesh,16.143872753151673,81.14805061000413
Kurnool,Andhra Pradesh,15.437597151424288,77.90086836581717
Mahbubnagar,Andhra Pradesh,16.639546224256293,77.98933089244859
Medak,Andhra Pradesh,17.889304978038055,78.13778901903379
Nalgonda,Andhra Pradesh,17.113250515463907,79.16984453608244
Nellore,Andhra Pradesh,13.894344071421887,80.14702671812498
Nizamabad,Andhra Pradesh,18.429485849056608,78.07523490566034
Prakasam,Andhra Pradesh,15.489039001601705,80.11665790176184
Rangareddi,Andhra Pradesh,17.245235872576178,78.05756828254849
Srikakulam,Andhra Pradesh,18.570900998697432,84.25874814010676
Vishakhapatnam,Andhra Pradesh,17.646839033989302,83.01014035778171
Vizianagaram,Andhra Pradesh,18.283296960329718,83.45982854198874
Warangal,Andhra Pradesh,18.01752608695651,79.87422028985509
West Godavari,Andhra Pradesh,16.63297943925236,81.45912990654196
Changlang,Arunachal Pradesh,27.360484793388448,96.37552644628107
East Kameng,Arunachal Pradesh,27.371194055944056,93.04741486013997
East Siang,Arunachal Pradesh,28.15382352941176,95.06499226006191
Kurung Kumey,Arunachal Pradesh,28.048533518005534,93.24531994459835
Lohit,Arunachal Pradesh,27.946785273972626,96.59670770547943
Lower Dibang Valley,Arunachal Pradesh,28.32651730103806,95.76567335640142
Lower Subansiri,Arunachal Pradesh,27.70849297297297,93.96226108108112
Papum Pare,Arunachal Pradesh,27.27352971698113,93.54468183962265
Tawang,Arunachal Pradesh,27.680683962264148,91.82504245283016
Tirap,Arunachal Pradesh,26.944062295081984,95.41470327868862
Upper Dibang Valley,Arunachal Pradesh,29.01994783653848,95.98776394230764
Upper Siang,Arunachal Pradesh,28.8309244897959,95.00155765306124
Upper Subansiri,Arunachal Pradesh,28.277196566523585,93.89914356223179
West Kameng,Arunachal Pradesh,27.46486582278483,92.65015750452083
Siang,Arunachal Pradesh,28.106296920289846,94.53510344202907
Barpeta,Assam,26.427872264631056,90.97912010178116
Bongaigaon,Assam,26.45012521994133,90.67342961876841
Cachar,Assam,24.815570668693017,92.86849650455929
Darrang,Assam,26.584632159624423,92.04141338028157
Dhemaji,Assam,27.58653343848582,94.71336908517351
Dhuburi,Assam,26.045061484453374,89.98500822467393
Dibrugarh,Assam,27.30612284482757,95.0998282327587
Goalpara,Assam,26.01727777777781,90.59869891598913
Golaghat,Assam,26.377219709794485,93.8258339782347
Hailakandi,Assam,24.45749608938549,92.59154664804475
Jorhat,Assam,26.76244824016563,94.30197722567287
Kamrup,Assam,26.17093945205481,91.58863273972591
Karbi Anglong,Assam,26.08966454598031,93.11536570271832
Karimganj,Assam,24.69660712250711,92.3679498575498
Kokrajhar,Assam,26.49724663573087,90.13997470997688
Lakhimpur,Assam,27.14128805970149,94.0775949253732
Marigaon,Assam,26.24650046728974,92.21949953271023
Nagaon,Assam,26.264621706263515,92.9306191144708
Nalbari,Assam,26.46323767605632,91.40598521126765
North Cachar Hills,Assam,25.33829985315711,92.97740205580037
Sibsagar,Assam,27.02762869565218,94.90025847826081
Sonitpur,Assam,26.73514926829268,92.85197804878044
Tinsukia,Assam,27.535492911392414,95.69055949367085
Araria,Bihar,26.211528119180606,87.30766554934816
Aurangabad,Bihar,24.774291867469874,84.45986024096379
Banka,Bihar,24.832355642023334,86.8664916342413
Begusarai,Bihar,25.54302613168723,86.1256014403293
Bhabua,Bihar,25.02156642599276,83.61128104693134
Bhagalpur,Bihar,25.277192885375477,87.04213814229243
Bhojpur,Bihar,25.50666439393939,84.49407803030304
Buxar,Bihar,25.485930188679237,84.08808081760995
Darbhanga,Bihar,26.146187719298254,85.97387352472099
Gaya,Bihar,24.726654154727804,84.94291217765044
Gopalganj,Bihar,26.448743641618513,84.34636127167629
Jamui,Bihar,24.78418380462726,86.26316298200514
Jehanabad,Bihar,25.15567904564316,84.9208124481328
Katihar,Bihar,25.565653560371512,87.70466083591326
Khagaria,Bihar,25.535588914549642,86.56593256351037
Kishanganj,Bihar,26.324336758321294,87.95045007235886
Lakhisarai,Bihar,25.183449321266966,86.1282570135747
Madhepura,Bihar,25.77341929460581,86.8978443983403
Madhubani,Bihar,26.413805381727162,86.16328360450552
Munger,Bihar,25.198537962962966,86.54173672839504
Muzaffarpur,Bihar,26.186644171779147,85.32745092024544
Nalanda,Bihar,25.229345508982053,85.48053113772461
Nawada,Bihar,24.825708836206907,85.61594568965519
Pashchim Champaran,Bihar,27.160643522012577,84.30265911949684
Patna,Bihar,25.40297114503818,85.31984335877871
Purba Champaran,Bihar,26.68129336734693,85.00382155612242
Purnia,Bihar,25.81714801901739,87.40447606973066
Rohtas,Bihar,24.99170460829495,83.93507626728109
Saharsa,Bihar,25.821270696721307,86.54670819672134
Samastipur,Bihar,25.793205563909765,85.94833323308269
Saran,Bihar,25.89656077844312,84.82266287425155
Sheikhpura,Bihar,25.12472436548223,85.77839390862944
Sheohar,Bihar,26.45838074866311,85.29539411764709
Sitamarhi,Bihar,26.565700696864127,85.61172491289203
Siwan,Bihar,26.1736372013652,84.33766552901022
Supaul,Bihar,26.281578937728963,86.78496465201462
Vaishali,Bihar,25.813470318021196,85.39247597173153
Chandigarh,Chandigarh,30.7426,76.75872465753423
Bastar,Chhattisgarh,19.393866751269048,81.52895126903546
Bilaspur,Chhattisgarh,22.356942982456147,81.99770350877188
Dantewada,Chhattisgarh,18.653854086538466,81.07200120192313
Dhamtari,Chhattisgarh,20.554912627291245,81.7569195519348
Durg,Chhattisgarh,21.194463849287164,81.33181639511197
Janjgir-Champa,Chhattisgarh,21.961093750000025,82.80495408653844
Jashpur,Chhattisgarh,22.77286167664669,83.8703962075848
Kanker,Chhattisgarh,20.139461285008245,81.06913080724874
Kawardha,Chhattisgarh,22.048000792079204,81.16271188118817
Korba,Chhattisgarh,22.491712499999995,82.57604326923074
Koriya,Chhattisgarh,23.504127768595012,82.12515636363634
Mahasamund,Chhattisgarh,21.223727037773358,82.65925427435384
Raigarh,Chhattisgarh,22.008265068493166,83.27797698630134
Raipur,Chhattisgarh,20.88603153846152,82.20032759615388
Raj Nandgaon,Chhattisgarh,21.058414734950606,80.78526693620836
Surguja,Chhattisgarh,23.327192787286073,83.23582493887531
Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,20.215132170542628,73.09454961240311
Daman,Dadra and Nagar Haveli and Daman and Diu,20.431616666666674,72.83923660714291
Junagadh,Dadra and Nagar Haveli and Daman and Diu,20.72568199498111,70.83985639899612
Delhi,Delhi,28.64594429824561,77.1280451754386
North Goa,Goa,15.548723418714054,73.80667997909038
South Goa,Goa,15.195278658183785,73.94179259687701
Ahmadabad,Gujarat,22.605425564971746,72.23898135593227
Amreli,Gujarat,21.048326493108718,71.43457637825426
Anand,Gujarat,22.282718206229863,72.57782051557454
Banas Kantha,Gujarat,24.25853896551725,71.93205252873561
Bharuch,Gujarat,21.75787276237761,72.67326346710801
Bhavnagar,Gujarat,21.70219390341736,72.16272632761141
Dahod,Gujarat,22.897992252252234,73.99170612612609
Gandhinagar,Gujarat,23.19367979002625,72.67221679790026
Jamnagar,Gujarat,22.410600414263328,69.62062005768232
Junagadh,Gujarat,20.929523011609785,70.54733890140345
Kutch,Gujarat,23.48057203301311,68.82192301497915
Kheda,Gujarat,22.887653125000018,73.018803515625
Mahesana,Gujarat,23.529355452865065,72.45545194085031
Narmada,Gujarat,21.706663862928334,73.68403208722742
Navsari,Gujarat,20.866973318871995,72.86184869848157
Panch Mahals,Gujarat,22.80435606837605,73.61984598290586
Patan,Gujarat,23.80634198473284,71.75162977099238
Porbandar,Gujarat,21.550923516515713,69.71896987722886
Rajkot,Gujarat,22.406033777154878,70.83679439383323
Sabar Kantha,Gujarat,23.71803594548552,73.13638790459964
Surat,Gujarat,21.25761372772093,72.93488716344339
Surendranagar,Gujarat,22.82672007299272,71.48358740875906
The Dangs,Gujarat,20.801633877551023,73.68835183673471
Vadodara,Gujarat,22.26133739279589,73.49433010291594
Valsad,Gujarat,20.44238231644259,72.91485847983449
Ambala,Haryana,30.350367231638398,76.94970310734456
Bhiwani,Haryana,28.728868064516128,76.02110225806452
Faridabad,Haryana,28.148731097560983,77.3271853658537
Fatehabad,Haryana,29.57298318584072,75.54608716814157
Gurugram,Haryana,28.043894789579163,77.01935130260524
Hisar,Haryana,29.236287311178252,75.84324682779452
Jhajjar,Haryana,28.596518681318692,76.61137142857146
Jind,Haryana,29.45149821958457,76.29598575667653
Kaithal,Haryana,29.960685390946487,76.37698930041155
Karnal,Haryana,29.703200647249204,76.87488025889972
Kurukshetra,Haryana,30.05652659846548,76.78774680306903
Mahendragarh,Haryana,28.1352161458333,76.14018072916659
Panchkula,Haryana,30.700897142857126,76.97173238095236
Panipat,Haryana,29.343521341463422,76.92895914634147
Rewari,Haryana,28.19164714828897,76.55956007604564
Rohtak,Haryana,28.892517647058817,76.53123235294117
Sirsa,Haryana,29.63583446327684,74.90970480225988
Sonepat,Haryana,29.05805707964603,76.85587079646017
Yamuna Nagar,Haryana,30.264661825726147,77.31652821576762
Bilaspur,Himachal Pradesh,31.378042290748898,76.65316079295157
Chamba,Himachal Pradesh,32.66741814595661,76.39354063116366
Hamirpur,Himachal Pradesh,31.67668481012659,76.49767088607594
Kangra,Himachal Pradesh,32.14093603238864,76.41205910931173
Kinnaur,Himachal Pradesh,31.606671840659327,78.51613736263741
Kullu,Himachal Pradesh,31.909119220779253,77.40922649350647
Lahul and Spiti,Himachal Pradesh,32.51717030651338,77.62470977011492
Mandi,Himachal Pradesh,31.63580594059405,76.96556930693067
Shimla,Himachal Pradesh,31.15572545180725,77.62573042168668
Sirmaur,Himachal Pradesh,30.682764453961443,77.43184689507494
Solan,Himachal Pradesh,31.038643119266037,76.94442140672783
